w,h,c,n,k,f_w,f_h,pad_w,pad_h,stride_w,stride_h,precision,fwd_time (usec),fwd_algo,op,TOPS,Max TFLOPS,tc,Model TOPS,Mem Read (GB),Mem Time (usec),Mem TOPS,,Model Error,Abs Error
14,14,512,1,512,3,3,1,1,1,1,float,186,WINOGRAD,925,4.97,14,,14,0.01,14.61,63.31,,64.48%,64.48%
14,14,512,2,512,3,3,1,1,1,1,float,187,WINOGRAD,"1,850",9.89,Mem BW:,,14,0.01,15.75,117.41,,29.35%,29.35%
14,14,512,3,512,3,3,1,1,1,1,float,283,WINOGRAD,"2,775",9.80,652.8,,14,0.01,16.90,164.18,,29.97%,29.97%
14,14,512,4,512,3,3,1,1,1,1,float,281,WINOGRAD,"3,699",13.17,,,14,0.01,18.05,205.01,,5.96%,5.96%
14,14,512,5,512,3,3,1,1,1,1,float,280,WINOGRAD,"4,624",16.52,Multiply by,,14,0.01,19.19,240.97,,-17.96%,17.96%
14,14,512,6,512,3,3,1,1,1,1,float,391,WINOGRAD,"5,549",14.19,2,,14,0.01,20.34,272.87,,-1.37%,1.37%
14,14,512,7,512,3,3,1,1,1,1,float,392,WINOGRAD,"6,474",16.52,,,14,0.01,21.48,301.38,,-17.96%,17.96%
14,14,512,8,512,3,3,1,1,1,1,float,499,WINOGRAD,"7,399",14.83,,,14,0.01,22.63,327.00,,-5.91%,5.91%
14,14,512,9,512,3,3,1,1,1,1,float,501,WINOGRAD,"8,324",16.61,,,14,0.02,23.77,350.15,,-18.67%,18.67%
14,14,512,10,512,3,3,1,1,1,1,float,503,WINOGRAD,"9,248",18.39,,,14,0.02,24.92,371.17,,-31.33%,31.33%
14,14,512,16,512,3,3,1,1,1,1,float,614,WINOGRAD_NONFUSED,"14,798",24.10,,,14,0.02,31.79,465.49,,-72.14%,72.14%
14,14,512,32,512,3,3,1,1,1,1,float,1115,WINOGRAD_NONFUSED,"29,595",26.54,,,14,0.03,50.11,590.55,,-89.59%,89.59%
14,14,512,64,512,3,3,1,1,1,1,float,2063,WINOGRAD_NONFUSED,"59,190",28.69,,,14,0.06,86.77,682.18,,-104.94%,104.94%
14,14,512,256,512,3,3,1,1,1,1,float,7425,WINOGRAD_NONFUSED,"236,760",31.89,,,14,0.20,306.67,772.03,,-127.76%,127.76%
14,14,512,512,512,3,3,1,1,1,1,float,14265,FFT,"473,520",33.19,,,14,0.39,599.88,789.36,,-137.10%,137.10%
224,224,64,1,64,3,3,1,1,1,1,float,342,IMPLICIT_PRECOMP_GEMM,"3,699",10.82,,,,,,,,,
224,224,64,2,64,3,3,1,1,1,1,float,362,WINOGRAD,"7,399",20.44,,,,,,,,,
224,224,64,3,64,3,3,1,1,1,1,float,553,WINOGRAD,"11,098",20.07,,,,,,,,,
224,224,64,4,64,3,3,1,1,1,1,float,735,WINOGRAD,"14,798",20.13,,,,,,,,,
224,224,64,5,64,3,3,1,1,1,1,float,915,WINOGRAD,"18,497",20.22,,,,,,,,,
224,224,64,6,64,3,3,1,1,1,1,float,1101,WINOGRAD,"22,196",20.16,,,,,,,,,
224,224,64,7,64,3,3,1,1,1,1,float,1300,WINOGRAD,"25,896",19.92,,,,,,,,,
224,224,64,8,64,3,3,1,1,1,1,float,1496,WINOGRAD,"29,595",19.78,,,,,,,,,
224,224,64,9,64,3,3,1,1,1,1,float,1687,WINOGRAD,"33,294",19.74,,,,,,,,,
224,224,64,10,64,3,3,1,1,1,1,float,1855,WINOGRAD,"36,994",19.94,,,,,,,,,
224,224,64,16,64,3,3,1,1,1,1,float,3088,WINOGRAD,"59,190",19.17,,,,,,,,,
224,224,64,32,64,3,3,1,1,1,1,float,6441,WINOGRAD,"118,380",18.38,,,,,,,,,
224,224,64,64,64,3,3,1,1,1,1,float,12652,WINOGRAD,"236,760",18.71,,,,,,,,,
224,224,64,256,64,3,3,1,1,1,1,float,50394,WINOGRAD,"947,040",18.79,,,,,,,,,
14,14,512,1,512,3,3,1,1,1,1,half,323,WINOGRAD_NONFUSED,925,2.86,,,,,,,,,
14,14,512,2,512,3,3,1,1,1,1,half,317,WINOGRAD_NONFUSED,"1,850",5.83,,,,,,,,,
14,14,512,3,512,3,3,1,1,1,1,half,308,WINOGRAD_NONFUSED,"2,775",9.01,,,,,,,,,
14,14,512,4,512,3,3,1,1,1,1,half,307,WINOGRAD_NONFUSED,"3,699",12.05,,,,,,,,,
14,14,512,5,512,3,3,1,1,1,1,half,307,WINOGRAD_NONFUSED,"4,624",15.06,,,,,,,,,
14,14,512,6,512,3,3,1,1,1,1,half,308,WINOGRAD_NONFUSED,"5,549",18.02,,,,,,,,,
14,14,512,7,512,3,3,1,1,1,1,half,308,WINOGRAD_NONFUSED,"6,474",21.02,,,,,,,,,
14,14,512,8,512,3,3,1,1,1,1,half,309,WINOGRAD_NONFUSED,"7,399",23.94,,,,,,,,,
14,14,512,9,512,3,3,1,1,1,1,half,310,WINOGRAD_NONFUSED,"8,324",26.85,,,,,,,,,
